topic,year,frequency,total_questions
quantum-mechanics,2020,25,100
quantum-mechanics,2021,30,120
quantum-mechanics,2022,28,110
quantum-mechanics,2023,35,130
quantum-mechanics,2024,32,125
linear-algebra,2020,20,100
linear-algebra,2021,22,120
linear-algebra,2022,25,110
linear-algebra,2023,20,130
linear-algebra,2024,23,125
thermodynamics,2020,30,100
thermodynamics,2021,28,120
thermodynamics,2022,25,110
thermodynamics,2023,22,130
thermodynamics,2024,20,125
calculus,2020,35,100
calculus,2021,32,120
calculus,2022,30,110
calculus,2023,28,130
calculus,2024,25,125
